reference	verse	book
Matthew 26:17	(title) Jesus eats Jesus's last meal with Jesus's 12 followers/disciples. _paragraph On the first day of the Feast-of-Unleavened-Bread, the followers/disciples came to Jesus. And the followers/disciples asked, ["Where do you(Jesus) want [us(followers) _excl prepare-B the Passover of the meal _metonymy [so that you(Jesus) and we(followers) _implicit could eat that meal _implicit]]?"] (footnote) For _relation the meal of Passover a young sheep was killed/sacrifice by each Jewish family. And Jewish families ate bread [that does not contain substance [that causes [bread to become big]]].	Matthew
Matthew 12:22	(title) Certain people say [Jesus is controlled by a demon]. _paragraph Then people brought to Jesus a man [who was controlled by a demon [so-B that that man was blind] [and so-B that that man was mute]]. Jesus healed that man. So that man became able [to speak] [and to see things _implicit].	Matthew
Mark 15:15	(paragraph) [Because Pilate wanted [to satisfy that crowd],] Pilate freed Barabbas for-C that crowd. Then Pilate ordered [soldiers _implicitNecessary to whip Jesus]. And Pilate gave Jesus to soldiers _implicit [so that soldiers _implicitNecessary would kill Jesus [by putting Jesus on a cross]].	Mark
1 Samuel 16:16	We(servants) will look for a person [who plays the harp well]. [When the evil spirit [that comes from Yahweh] enters you(Saul)] that person will play the harp. Then the evil spirit will leave you(Saul). And you(Saul) will feel good. So you(Saul) (imp) command [us(servants) to look for a person [who will play the harp for you(Saul)]]."	1_Samuel
Genesis 31:35	Then Rachel said to Rachel's father named Laban, ["Father, you(Laban) do not be angry with me(Rachel)]. I(Rachel) am not able [to stand-up] [because I(Rachel) am menstruate”.]   Thus Laban looked for the idols in all Jacob's tents. but Laban did not find Laban's idols.	Genesis
Genesis 42:30	The brothers said to Jacob, ["The official [that is in Egypt] spoke cruelly to us(brothers)].  That official said [that we(brothers) are spies].	Genesis
Matthew 1:17	_paragraph So the list has 14 fathers/generations [who lived between _newSense the time [that Abraham lived at] and the time [that David lived at]]. And that list has 14 fathers/generations [who lived between _newSense the time [that David lived at] and the time [that Babylon _implicitNecessary exiled the Jews _implicitNecessary to Babylon at ]]. And that list has 14 fathers/generations [who lived between _newSense the time [that Babylon _implicitNecessary exiled the Jews _implicitNecessary to Babylon at] and the time [that the Christ was born at]].	Matthew
Matthew 11:2	_paragraph [While John the Baptist was in prison,] John the Baptist heard-D about the things [that Christ was doing]. And John the Baptist sent John the Baptist's followers/disciples to Christ.	Matthew
Mark 4:1	(title) Jesus tells a story/parable [that is about a farmer [who scattered seeds]]. Again Jesus started teaching the Good-News _implicit by the lake. The crowd [that gathered-C around Jesus] was very big. So Jesus went into a boat. And Jesus sat in that boat [that was on the lake] [while the whole crowd stayed on the shore near the water].	Mark
Nehemiah 13:19	Then I(Nehemiah) ordered [the people [who guarded the gates of Jerusalem] to close the gates in the evening before the seventh day of the week]. And I(Nehemiah) ordered [those people to not open those gates [until that day ended]]. Then I(Nehemiah) told [some of my(Nehemiah's) servants to stand in-front-of those gates]. Those servants did not let [people bring things into the city on the seventh day of the week].	Nehemiah
1 Samuel 2:1	(title) Hannah thanks Yahweh.  Hannah said, [“Yahweh caused [me(Hannah) to become very happy]]. And Yahweh made [me(Hannah) become very strong]. I(Hannah) am able [to laugh at my(Hannah's) enemies].  I(Hannah) am glad [because you(Yahweh) helped me(Hannah)]!	1_Samuel
Genesis 42:34	Then you(brothers) (imp) bring your(brothers') youngest brother to me(official).  Then I(official) will know [that you(brothers) are not spies]. Then I(official) will allow [your(brothers') other brother to leave the prison].  Then you(brothers) may travel to any place [that is in our(official's) country]."	Genesis
Matthew 4:9	And the devil said, ["I(devil) will give to you(Jesus) all of those countries/kingdoms [(implicit-situational) so that you(Jesus) could rule those countries/kingdoms] [if you(Jesus) will kneel/bow to me(devil)] [and if you(Jesus) will honor/worship me(devil)]"].	Matthew
Genesis 11:22	[When Serug was 30 years old] Serug had a son named Nahor.	Genesis
Genesis 50:5	You(officials) (imp) say to the king, ["My(Joseph's) father made [me(Joseph) make a promise]].  My(Joseph's) father said, ["I(Israel) will die soon].  You(Joseph) (imp) bury my(Israel's) body in the tomb [that I(Israel) dug for myself(Israel) in Canaan]." So you(king) (imp) please let [me(Joseph) go to Canaan now [so that I(Joseph) could bury my(Joseph's) father's body]]. Then I(Joseph) will return to this place.""	Genesis
Joshua 21:25	The Israelites also gave towns [that half of the tribe named Manasseh owned] to Aaron's descendants. That half of the tribe named Manasseh lived on the western side of the Jordan river. That half of the tribe named Manasseh gave the towns named Taanach and Gath-Rimmon to the other families [that were Kohath's descendants]. So that half of the tribe named Manasseh gave 2 towns to those people. And that half of the tribe named Manasseh also gave the fields [that were near those 2 towns] to those people.	Joshua
Nehemiah 1:5	Then I(Nehemiah) prayed to God, ["Yahweh, God of heaven, you(Yahweh) are great and wonderful]. You(Yahweh) always keep your(Yahweh's) special agreement/covenant of love with the people [that love you(Yahweh)] [and that obey your(Yahweh's) commandments].	Nehemiah
Mark 14:65	Then some of those leaders started to spit Jesus. And those leaders covered-A Jesus's eyes with a cloth [(implicit-situational) so that Jesus could not see]. Then some of those leaders started to beat Jesus with those leaders' hands. And those leaders said to Jesus, ["[If you(Jesus) are a person [who tells the Lord's-A messages to people],] you(Jesus) (imp) tell us(leaders) _implicit about the person _implicit [who is hitting you(Jesus)]!"] Then the servants/guards of the chief priest _implicit take-away Jesus. And those servants/guards hit-A Jesus with those servants'/guards hands.	Mark
2 Samuel 17:29	Those men also brought honey, milk, sheep, and cheese. Those men brought those things [so that David and the people [that were with David] could eat those things]. Those men said, ["The people are very tired, hungry, and thirsty in the desert]."	2_Samuel
