reference	verse	book
Matthew 4:17	(paragraph) From that time [ _descriptive (implicit-situational) that Jesus was at Capernaum at] Jesus started to teach/preach people _genericImplicit about God _implicit. And Jesus said, ["You(people) (imp) repent]. (complex) For the kingdom-B of heaven is near you(people) _implicit. (simple) For God is here [in-order-to rule you(people) _implicit]."	Matthew
Nahum 1:15	People [who live in Judah], you(people) (imp) look at the mountains! I(Nahum) see a messenger [who is bringing good news to you(people)]! That messenger will tell you(people) about peace. So people [who live in Judah], you(people) (imp) celebrate your(people's) feasts! You(people) (imp) keep the promises [that you(people) made to me(Yahweh)]. The evil people [who live in Assyria] will not attack you(people) again. I(Yahweh) will completely destroy those people.	Nahum
Genesis 49:31	People buried the body of Abraham and the body of Abraham's wife named Sarah in that cave. People also buried the body of Isaac and the body of Isaac's wife named Rebekah in that cave. and I(Jacob) buried the body of my(Jacob's) wife named Leah in that cave.	Genesis
Genesis 44:19	[When (implicit) we(brothers) came to this place previously] my(Judah's) master asked the master's servants, ["Do you(brothers) have a father or a brother?"]	Genesis
2 Samuel 18:6	Then David’s army walked/marched out of the city[in order to fight the Israelites [that were following Absalom]]. Those soldiers fought each-other(soldiers) in the forest [that is in Ephraim].	2_Samuel
Acts 16:9	During the night Paul saw a vision. And Paul saw a man [who was from the area named Macedonia]. That man was standing in front of Paul. And that man begged Paul.  And that man said to Paul, ["You(Paul) come(imp) here to Macedonia. And you(Paul) (imp) help us(Macedonians)."]	Acts
Joshua 12:10	The Israelites defeated the king of Jerusalem and the king of Hebron.	Joshua
Genesis 26:34	[When Esau was 40 years old] Esau married 2 women [who were Hittites].  Esau married Judith [who was the daughter of Beeri]. and Esau also married Basemath [who was the daughter of Elon].	Genesis
Daniel 11:21	The man [who comes after that man] will be hated by many people. That man will not deserve [to be a king]. That man will come at a time [that other people do not expect [the man to come]]. That man will cheat people [in order to rule the kingdom].	Daniel
Nehemiah 9:14	You(Yahweh) told those people [that the seventh day of the week was special/holy]. And you(Yahweh) gave to those people commands, rules, and laws through your(Yahweh's) servant named Moses.	Nehemiah
Mark 16:2	(literal) In-E the very early morning of the first day of the week, those women were walking to the hole [where people put dead bodies] [(implicit-situational) and where Joseph put Jesus's dead body] [while the sun was rising]. (dynamic) In-E the very early morning on Sunday, those women were walking to the hole [where people put dead bodies] [(implicit-situational) and where Joseph put Jesus's dead body] [while the sun was rising].	Mark
Mark 10:31	But many people [who are most important now _implicit] will be least important in the future _implicit. And many people [who are least important now _implicit] will be most important in the future _implicit."	Mark
Mark 13:31	The sky and the earth will end-A. But my(Jesus's) words will never end-A.	Mark
