reference	verse	book
Mark 9:23	(paragraph) (yesrhetorical) Jesus asked that father , ["Do you(father) _implicitNecessary think _implicitNecessary [I(Jesus) might not be able [(implicit-situational) to do a thing for your(father's) son]]?] (statement) Jesus said to that father, ["You(father) _implicitNecessary should not think [I(Jesus) might not be able [(implicit-situational) to do a thing for your(father's) son]]!] I(Jesus) _implicitNecessary am able [to do all things] [if a person believes in me(Jesus) _implicit]."	Mark
Acts 21:34	Then some people [who were in the crowd] shouted an answer to the man [who ruled the soldiers]. But some other people [who were in the crowd] shouted a different answer. The man [who ruled the soldiers] could not understand the things [that the people were shouting] [because the crowd made much noise]. So the man [who ruled the soldiers] commanded the soldiers [to take Paul into the building [where soldiers sleep]].	Acts
Esther 2:15	One day Hegai [who cared for the king's women [that did not sex a man]] told [Esther to go to the king]. Esther was the daughter of Abihail. Abihail was Mordecai's uncle. [Before Esther went to the king] Esther did not ask [Hegai to give special things to Esther]. Hegai chose the clothes [that Esther wore]. And Hegai chose the perfume for Esther. All the people [that saw Esther] thought [that Esther was very beautiful].	Esther
1 Samuel 19:24	Saul take-off Saul's robe.  And Saul was naked.  Then Saul started telling/prophesying God's messages to people in-front-of Samuel.  And Saul lie down on the ground without clothes during the day and during the night. So people asked, ["Is Saul also a prophet?"]	1_Samuel
Esther 7:8	[When the king returned from the garden to the palace] the king saw [Haman falling on the couch [that Esther was lying on]]. The king shouted, ["Will you(Haman) attack the queen [while I(king) am with the queen in the palace]?"] [After the king said these words] the king's servants entered the room. Then the servants took Haman from the palace [in order to kill Haman].	Esther
Genesis 34:9	The people of you(brothers) may marry the people of me(Hamor). The women of you(brothers) may marry the men of me(Hamor). And the women of me(Hamor) may marry the men of you(brothers).	Genesis
Matthew 24:37	At the time [that the Son-of-man _1stAs3rd will come again _implicit at] people will be acting [just-like people were acting in the days [that Noah lived in]].	Matthew
Daniel 7:21	I(Daniel) continued to watch the small horn. This horn fought against the people [that were faithful to God]. The small horn defeated those people.	Daniel
Mark 11:23	I(Jesus) tell the truth to you(followers). A person might say to this mountain _frameInferable, ["You(mountain) (imp) go from this place ]. And you(mountain) (imp) jump-A into the sea." [If that person does not doubt [that thing-B will happen] in that person's heart] [and if that person believes [that thing-B will happen],] that thing will be done by God _implicitActiveAgent for that person.	Mark
2 Samuel 8:10	Then Tou sent Tou's son named Joram to King David. Joram greeted David. And Joram praised King David [because David defeated King Hadadezer]. [Before David fought Hadadezer] Hadadezer was fighting Tou. Joram brought things made of silver, gold and bronze to David.	2_Samuel
Nehemiah 7:46	And other men [that served in the temple] returned. The temple servants were descendants of Ziha, Hasupha, and Tabbaoth.	Nehemiah
Genesis 6:3	Then God said, ["The spirit of me(God) will not stay in a person forever].  People should not live for a long time.  I(God) will allow [people to live for only 120 years]. -Alternate I(God) will destroy these people in 120 years."    People are made of bones and muscles.	Genesis
2 Samuel 9:6	Jonathan’s son’s name was Mephibosheth. [When Mephibosheth came to David] Mephibosheth bowed to David [in order to honor David].David said, ["Mephibosheth!"]Mephibosheth said, ["I(Mephibosheth) am your(David's) servant."]	2_Samuel
Nehemiah 5:7	I(Nehemiah) thought about those things. Then I(Nehemiah) accused [the leaders/nobles and officials of doing bad things]. I(Nehemiah) said to those leaders/nobles and officials, ["You(leaders) loaned money and food to people]. But now you(leaders) are making [those people pay extra money and extra food to you(leaders)]!" Then I(Nehemiah) called many leaders.	Nehemiah
Mark 14:61	But [(implicit-situational) even-though Jesus was not guilty-A,] Jesus did not speak. And Jesus did not answer the chief priest's questions _implicit. (paragraph) Then the chief priest asked Jesus, ["Are you(Jesus) the Christ?] Are you(Jesus) the Son of the Lord-A, [whom we(Jews) praise]?"	Mark
Genesis 20:14	Then Abimelech gave sheep, cattle, male slaves and female slaves to Abraham. Abimelech also returned Abraham's wife named Sarah to Abraham.	Genesis
Joshua 22:30	Phinehas [who was the priest] and the leaders of the tribes of Israel listened to the people [who were in the tribes named Reuben, Gad, and Manasseh]. Then Phinehas and the leaders were pleased with those people.	Joshua
Ruth 4:13	So Boaz married Ruth. [When Boaz sexed Ruth] Yahweh caused [Ruth to become pregnant]. Then Ruth gave birth to a son.	Ruth
Matthew 5:48	(literal) Therefore, you(people) (imp) be perfect [just-like your(people's) Father [who is in heaven] is perfect]. (dynamic) Therefore, you(people) (imp) be completely good [just-like your(people's) Father [who is in heaven] is completely good].	Matthew
